film_name;film_time_min;country;main_roles;genre;director;rating;url;film_year
Российская империя (сериал);60;Россия;Леонид Парфенов, Елизавета Листова;документальный,история;Джаник Файзиев;8.8;https://www.kinopoisk.ru//film/453188/sr/1/;2000
Metallica: S&M (ТВ);145;США;Metallica, Джеймс Хетфилд;документальный,музыка,концерт;Уэйн Ишам;8.6;https://www.kinopoisk.ru//film/337889/sr/1/;2000
Гладиатор;155;США;Рассел Кроу, Хоакин Феникс;история,боевик,драма;Ридли Скотт;8.6;https://www.kinopoisk.ru//film/474/sr/1/;2000
Большой куш;104;Великобритания;Джейсон Стэйтем, Стивен Грэм;криминал,комедия,боевик;Гай Ричи;8.5;https://www.kinopoisk.ru//film/526/sr/1/;2000
Близкие друзья (сериал);45;Канада;Гейл Харольд, Хэл Спаркс;драма,мелодрама;Майкл ДеКарло;8.4;https://www.kinopoisk.ru//film/262973/sr/1/;2000
Первый шаг (сериал);23;Япония;Стив Стейли, Ричард Эпкар;аниме,мультфильм,спорт;Сатоси Нисимура;8.4;https://www.kinopoisk.ru//film/408577/sr/1/;2000
Eminem: Stan (видео);8;США;Эминем, Дайдо;короткометражка,драма,криминал;Филлип Дж. Этвелл;8.3;https://www.kinopoisk.ru//film/950708/sr/1/;2000
Изгой;143;США;Том Хэнкс, Хелен Хант;драма,мелодрама,приключения;Роберт Земекис;8.2;https://www.kinopoisk.ru//film/627/sr/1/;2000
Хроники Рэдволла: Маттимео (сериал);30;Германия;Энтони Бэкэнн, Вейн Бест;мультфильм,фэнтези,семейный;Люк Бьян;8.2;https://www.kinopoisk.ru//film/229464/sr/1/;2000
Книжный магазин Блэка (сериал);25;Великобритания;Дилан Моран, Билл Бэйли;комедия;Мартин Деннис;8.2;https://www.kinopoisk.ru//film/414973/sr/1/;2000
О птичках;3;США;Ральф Эгглстон;мультфильм,короткометражка,комедия;Ральф Эгглстон;8.2;https://www.kinopoisk.ru//film/672/sr/1/;2000
Влюблённые;216;Индия;Амитабх Баччан, Шах Рукх Кхан;мюзикл,драма,мелодрама;Адитья Чопра;8.2;https://www.kinopoisk.ru//film/62651/sr/1/;2000
Бандитский Петербург 2: Адвокат (сериал);366;Россия;Дмитрий Певцов, Ольга Дроздова;драма,мелодрама,криминал;Владимир Бортко;8.2;https://www.kinopoisk.ru//film/94103/sr/1/;2000
Аргай (сериал);24;Франция;Мари-Кристин Адам, Кристиан Алер;мультфильм,фантастика,приключения;Жан-Сезар Сухорски;8.1;https://www.kinopoisk.ru//film/295052/sr/1/;2000
Брат 2;127;Россия;Сергей Бодров мл., Виктор Сухоруков;боевик,криминал;Алексей Балабанов;8.1;https://www.kinopoisk.ru//film/41520/sr/1/;2000
Нет смерти для меня;52;Россия;Нонна Мордюкова, Татьяна Окуневская;документальный,биография;Рената Литвинова;8.1;https://www.kinopoisk.ru//film/41559/sr/1/;2000
Брюс Ли: Путь воина (видео);100;США;Брюс Ли, Карим Абдул-Джаббар;документальный,боевик,биография;Джон Литтл;8.1;https://www.kinopoisk.ru//film/399998/sr/1/;2000
Заплати другому;123;США;Кевин Спейси, Хелен Хант;драма;Мими Ледер;8.1;https://www.kinopoisk.ru//film/782/sr/1/;2000
Военный ныряльщик;129;США;Роберт Де Ниро, Кьюба Гудинг мл.;драма,биография;Джордж Тиллман мл.;8.1;https://www.kinopoisk.ru//film/751/sr/1/;2000
Фредди Меркьюри, нерассказанная история (ТВ);59;Великобритания;Фредди Меркьюри, Джер Булсара;документальный,биография,музыка;Руди Долезал;8.0;https://www.kinopoisk.ru//film/467505/sr/1/;2000
Осень в моём сердце (сериал);53;Корея Южная;Сон Сын-хон, Сон Хе-гё;драма,мелодрама;Юн Сок-хо;8.0;https://www.kinopoisk.ru//film/325785/sr/1/;2000
Девочки Гилмор (сериал);43;США;Лорен Грэм, Алексис Бледел;драма,комедия;Джеми Бэббит	;8.0;https://www.kinopoisk.ru//film/86191/sr/1/;2000
Горе от ума;157;Россия;Игорь Охлупин, Ольга Кузина;драма;Олег Меньшиков;8.0;https://www.kinopoisk.ru//film/494615/sr/1/;2000
Реквием по мечте;102;США;Джаред Лето, Марлон Уайанс;драма;Даррен Аронофски;8.0;https://www.kinopoisk.ru//film/367/sr/1/;2000
Энн из Зеленых крыш 3 (мини-сериал);185;Канада;Джонатан Кромби, Шулер Грант;драма,мелодрама,семейный;Стефан Скайни;8.0;https://www.kinopoisk.ru//film/327447/sr/1/;2000
Трепетные сердца;158;Индия;Шах Рукх Кхан, Джухи Чавла;мелодрама,комедия;Азиз Мирза;8.0;https://www.kinopoisk.ru//film/68245/sr/1/;2000
